sample_id_fastq,barcoding_id,sample_id,sampling_id,taxonomy,sample_type,sample_type_2,sample_type_3,zone,spot_name,region,region_season,season,body_mass,size_class,sex_state,gut_fullness,standard_length,taxo_q0,taxo_q1,scfa_q0,scfa_q1,enzymes_q0,enzymes_q1,ontogeny
G-F720-B,G_F720_B,G_F720,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,504,> 200,NA,half_full,278,191,46.0278245488784,85,34.3410029559057,130,45.7141202518423,adult
G-F721-B,G_F721_B,G_F721,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,236,> 200,NA,full,208,328,186.177777621517,87,39.6197453439731,123,58.0504810485263,adult
G-F877-B,G_F877_B,G_F877,G110,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,29,"[100,200]",immature,full,103,127,62.946449425781,96,31.6009154909941,134,41.3379901102861,juvenile
G-F878-B,G_F878_B,G_F878,G110,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,18,"[0,100]",immature,full,88,259,126.06719628996,87,34.9684039255287,125,51.2135308689115,juvenile
G-F881-B,G_F881_B,G_F881,G110,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,33,"[100,200]",immature,full,106,416,289.272692596288,104,39.1974473523875,141,57.0784773366094,juvenile
G-F892-B,G_F892_B,G_F892,G112,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,22,"[0,100]",immature,NA,86,327,203.907277226987,111,36.7706975005011,150,54.747768843585,juvenile
G-F896-B,G_F896_B,G_F896,G112,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,24,"[0,100]",immature,full,98,171,64.8083544364455,101,21.7326194474137,143,31.0635164214173,juvenile
G-F898-B,G_F898_B,G_F898,G112,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,28,"[100,200]",immature,NA,105,188,105.277896862687,93,30.4142827147578,137,42.1977601206159,juvenile
G-F917-B,G_F917_B,G_F917,G116,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,364,> 200,immature,almost_full,227,129,60.7274716385718,107,34.3631725727455,145,43.1889436003682,adult
G-F919-B,G_F919_B,G_F919,G116,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Autumn,Autumn,330,> 200,immature,full_of_mucus,215,282,126.362462453558,105,41.2175884214618,138,57.6179236608925,adult
